jargon,short_definition,definition,easy_understanding,use_example,bad_example
抓手,推动目标实现的关键动作、工具或载体。,推动目标实现的关键动作、工具或载体。,具体靠什么把事往前推。,会员体系是提升留存的核心抓手。,没有可执行动作时不要硬说抓手。
破局,卡住了，想个能打开局面的办法。,突破既有瓶颈或不利格局，形成新路径。,卡住了，想个能打开局面的办法。,低价策略不是目的，关键是用它破局。,常规排班调整不宜夸成破局。
卡位,先抢个好位置，后面好说话。,抢先占据关键位置、资源或用户心智。,先抢个好位置，后面好说话。,我们要在行业标准形成前完成卡位。,没有竞争窗口时慎用。
心智,别人一想到这事，会不会先想到你,用户或组织成员对某对象形成的稳定认知。,别人一想到这事，会不会先想到你。,这个活动要打的是用户心智。,讨论服务器故障原因时不宜说心智。
落地,别光说，真的干出来。,将方案转化为可实施、可交付的行动。,别光说，真的干出来。,这个策略下周要形成落地计划。,纯理论研究阶段不宜强求落地。
推进,催大家往前走。,持续协调资源并推动事项向前进展。,催大家往前走。,我来推进接口联调和验收。,事项不归自己负责时别轻易认领推进。
跟进,盯一下，别让它黄了。,对事项进展进行持续追踪和反馈。,盯一下，别让它黄了。,这个问题我会跟进到关闭。,无后续动作时不要只说跟进。
对齐,先把话说成一个版本。,让目标、口径、时间表或预期保持一致。,先把话说成一个版本。,上线前我们再对齐一次验收口径。,单人独立完成的小事无需过度对齐。
排期,什么时候做，什么时候交。,将任务安排到明确时间节点或迭代计划中。,什么时候做，什么时候交。,这个需求需要先进入下个版本排期。,完全没有资源承诺时不要假装有排期。
交付,把东西按时给出来,按约定完成并移交成果。,把东西按时给出来。,本周五交付第一版数据看板。,只有想法没有成品时不宜说交付。
拆解,拆解：把复杂目标分解为更小的任务、指标或路径。大活拆成小活。,把复杂目标分解为更小的任务、指标或路径。,大活拆成小活。,先把增长目标拆解到渠道和人群。,问题已经很简单时过度拆解会显得啰嗦。
闭环,事情有头有尾，别烂尾。,形成从发现、处理、反馈到复盘的完整流程。,事情有头有尾，别烂尾。,这类客诉要做到当天闭环。,开放性探索不一定能立刻闭环。
赋能,给别人递工具、给资源、帮他干得动,通过工具、资源、方法或能力支持对象提升表现。,给别人递工具、给资源、帮他干得动。,数据平台要赋能一线运营。,只是转发文件不宜说赋能。
协同,大家别各干各的。,多个主体围绕共同目标配合行动。,大家别各干各的。,这件事需要产品、技术、运营协同。,单人独立任务不宜强调协同。
共创,一起想，一起做，一起背锅。,多方共同参与方案设计和结果产出。,一起想，一起做，一起背锅。,我们和商家共创一套节日玩法。,方案已定只让对方执行时不宜说共创。
联动,你动我也动，别断线。,多个模块或团队发生配合与连锁响应。,你动我也动，别断线。,主会场和私域渠道要形成联动。,没有互动关系的并列任务不宜叫联动。
拉通,把散着的人和事串起来,打通信息、流程或资源，使不同环节连贯。,把散着的人和事串起来。,先拉通法务、财务和采购的审批链路。,只通知一方不算拉通。
拉齐,把大家拉到同一条线上,使多方理解、口径或进度趋于一致。,把大家拉到同一条线上。,上线前把各团队风险点拉齐。,对方没有参与必要时不宜拉齐。
同频,在认知、节奏或目标上保持一致。,在认知、节奏或目标上保持一致。,别我说东你想西。,这次调整需要先让核心成员同频。,纯粹告知型通知无需说同频。
串联,把点连成线,把分散节点连接为连续链路。,把点连成线。,运营同学负责串联报名到转化链路。,没有前后关系的事项不宜串联。
价值,到底有没有用,对象对用户、业务或组织产生的有效收益。,到底有没有用。,先讲清楚这个需求的业务价值。,讨论纯合规要求时不要只问商业价值。
增长,让数字变大,关键业务指标在规模、收入或用户量上的提升。,让数字变大。,这个实验目标是提升新客增长。,没有基线指标时不要空喊增长。
增效,提升单位投入产出的效率。,提升单位投入产出的效率。,同样的人和钱，干更多事。,这个机器人主要服务于客服增效。,新增复杂审批反而不宜称增效。
降本,少花钱少费人,降低人力、时间、资金或机会成本。,少花钱少费人。,今年供应链重点是降本和稳定交付。,牺牲质量和合规的低价不宜叫降本。
提效,干得更快,提升处理速度、周转效率或生产效率。,干得更快。,模板化后能明显提效。,只是把压力转嫁给下游不算提效。
转化,看了以后有没有买、点、留资,用户从一个状态进入目标状态的行为变化。,看了以后有没有买、点、留资。,落地页首屏会影响转化。,内部文化宣导不宜硬套转化。
留存,人来了以后还会不会回来,用户在一定周期后继续使用或保持活跃。,人来了以后还会不会回来。,新手引导直接影响次日留存。,一次性活动不宜过度考核留存。
口碑,别人愿不愿意夸你、推荐你。,用户或市场对产品、服务、组织的评价沉淀。,别人愿不愿意夸你、推荐你。,交付稳定是建立口碑的基础。,短期刷量不宜包装成口碑。
迭代,先做一版，再慢慢改。,基于反馈或目标持续进行版本更新。,先做一版，再慢慢改。,第一版上线后根据数据迭代。,监管文件定稿后不能随意迭代。
升级,换个更强的版本。,在能力、版本、规格或策略上提升层级。,换个更强的版本。,客服体系需要从响应升级到主动服务。,只是换个名字不宜叫升级。
优化,把不好用的地方改好一点,在既有基础上改进表现或体验。,把不好用的地方改好一点。,我们先优化报名链路。,方向错误时只优化细节不解决问题。
沉淀,别每次都从零开始。,将经验、数据、方法或能力固化为可复用资产。,别每次都从零开始。,活动结束后要沉淀一套模板。,一次性、无复用价值的事项不必沉淀。
进化,越来越会干,能力或系统随环境变化持续提升。,越来越会干。,推荐系统会随用户反馈持续进化。,小修小补不宜夸成进化。
跃迁,不是小进步，是跳一级。,跨越式提升到新的能力或结构层级。,不是小进步，是跳一级。,模型能力提升带来生产方式跃迁。,日常排版调整不宜说跃迁。
试点,先找个小地方试一下。,在有限范围内先行验证方案。,先找个小地方试一下。,先在华东区域试点，再决定是否推广。,风险已知且必须全量执行时不宜试点。
打磨,再修修，让它像样。,对细节反复调整以提高质量。,再修修，让它像样。,这版汇报还需要打磨故事线。,重大方向没定时先别沉迷打磨。
共识,共识：组织成员对目标、原则或判断形成共同理解。大家都明白为什么这么干。,组织成员对目标、原则或判断形成共同理解。,大家都知道为什么这么干。,先在管理层形成共识。,紧急处置时不能为了共识无限开会。
担当,面对目标、责任和风险时主动承担。,面对目标、责任和风险时主动承担。,出了事别只甩锅。,关键节点需要负责人有担当。,要求基层无授权背责任不宜叫担当。
皮实,抗压，别一碰就碎。,面对压力、变化和批评时保持韧性。,抗压，别一碰就碎。,这个岗位节奏快，需要比较皮实。,涉及心理健康或不合理加班时慎用。
利他,别只想着自己方便,优先考虑他人、客户或整体利益。,别只想着自己方便。,平台团队要有利他意识。,要求一方长期牺牲权益时不宜包装成利他。
敬畏,别飘，别乱来。,对规则、用户、市场或专业保持尊重和边界感。,别飘，别乱来。,做金融产品要对风险有敬畏。,普通创意讨论中过度强调敬畏会压制表达。
氛围,这个组待着舒不舒服、卷不卷。,团队或组织中可感知的情绪、关系与行为环境。,这个组待着舒不舒服、卷不卷。,新人融入需要好的团队氛围。,制度问题不能只归因于氛围。
机制,靠规则运转，别靠人情硬撑。,稳定影响行为和结果的制度、流程或规则安排。,靠规则运转，别靠人情硬撑。,要通过机制保证问题及时暴露。,一次性口头约定不宜叫机制。
组织,一群人怎么分工、怎么一起干,为实现目标而形成的人员结构与协作系统。,一群人怎么分工、怎么一起干。,这个问题不只是流程问题，也是组织问题。,单个岗位说明不宜泛化为组织问题。
中台,把重复造轮子的能力集中起来给大家用。,沉淀通用能力并支撑前台业务复用的平台型组织或系统。,把重复造轮子的能力集中起来给大家用。,会员、交易、数据能力可以沉淀到中台。,小团队单一系统不一定需要中台。
小二,平台里负责服务商家和用户的人。,阿里/淘宝语境中对平台运营、客服或员工角色的称呼。,平台里负责服务商家和用户的人。,这件事可以先找类目小二确认规则。,外部正式合同中慎用内部称呼。
花名,公司里的江湖名。,员工在组织内部使用的别名或昵称。,公司里的江湖名。,他的花名叫逍遥子。,法律文件和正式任免公告应使用本名。
使命,组织长期存在的根本目的。,组织长期存在的根本目的。,公司说自己到底为什么存在。,阿里使命是让天下没有难做的生意。,短期促销目标不宜说成使命。
愿景,公司想变成什么样。,组织希望长期成为的状态或图景。,公司想变成什么样。,愿景要能指导长期取舍。,本周任务不宜拔高为愿景。
客户,先想用户/商家要什么。,价值创造和服务优先级中的核心对象。,先想用户/商家要什么。,客户第一意味着先解决真实痛点。,把内部老板误称为客户会混淆对象。
变化,唯一不变就是一直变,外部环境和内部条件持续改变的常态。,唯一不变就是一直变。,变化是常态，流程也要能快速适配。,稳定合规要求不能随意用变化掩盖。
当下,现在不干等啥,强调立即行动和当前责任的时间取向。,现在不干等啥。,如果不是现在，那是什么时候。,需要审慎论证的高风险决策不宜只讲当下。
快乐,干活也别把人干废,强调工作与生活状态中的积极体验。,干活也别把人干废。,认真生活，快乐工作。,高压加班后用快乐粉饰问题不合适。
生态,一群人围着平台做生意,由多方参与者、平台能力和规则构成的商业系统。,不是一个产品，是一群人围着平台做生意。,平台要维护商家、用户和服务商生态。,两三个临时合作方不宜夸成生态。
全链路,贯穿全部关键环节,贯穿某项业务、服务或数据处理从起点到终点的全部关键环节，强调各环节之间的连接、协同和整体观察。,不是只看其中一步，而是把从开始到结束的整条链路都看完整。,本次优化需要从用户进入、操作、转化到服务反馈进行全链路分析。,只处理单个局部环节时，不宜称为全链路。
对一下,核对一下、对个账,核对信息、对齐口径,核对一下、对个账,这个数据我们对一下，避免出错,信息完全一致、无需核对的场景不适用
碰一下,简短沟通、同步进展,简短沟通、同步进展,聊一下、碰个面,这个事我们碰一下，快速定下来,需要深度讨论的复杂问题、正式会议不适用
过一下,快速过一遍内容、同步信息,快速过一遍内容、同步信息,过一遍、快速看一下,这个方案我们快速过一下，有问题再提,需要逐字审核的法律文件、核心合同不适用
抢品类,抢品类、占赛道,抢占品类赛道、争夺品类市场份额,抢品类、占赛道,这个新品类我们要抢下来，做行业第一,成熟品类、无竞争的内部业务不适用
卡认知,占心智、打认知,抢占用户心智、建立品牌认知,占心智、打认知,这个新品我们要先卡认知，让用户想到就买我们,内部工具、To B 定制化产品不适用
占场景,抢占用户使用场景、布局场景化服务,抢占用户使用场景、布局场景化服务,占场景、铺场景,这个生活场景我们要占下来，做全链路服务,单一功能产品、无场景延伸的业务不适用
观行业,看行业、做行业分析,观察行业动态、分析行业趋势,看行业、做行业分析,做新业务前，先观行业，看清楚趋势,日常执行工作、固定流程业务不适用
明竞争,看对手、做竞争分析,明确竞争对手、分析竞争格局,看对手、做竞争分析,进入这个赛道前，先明竞争，知道对手的优势,垄断赛道、无竞争的内部业务不适用
洞自身,看自己、做自我分析,洞察自身优势劣势、明确自身定位,看自己、做自我分析,制定战略前，先洞自身，知道我们能做什么,日常执行工作、固定流程业务不适用
开场子,搭台子、建平台,搭建业务平台、打造业务生态,搭台子、建平台,这个新业务我们要开场子，吸引商家入驻,单一业务、无平台属性的产品不适用
提调子,定调子、定方向,确定沟通基调、明确核心方向,定调子、定方向,这个会议先提调子，核心是解决用户体验问题,日常闲聊、无明确主题的沟通不适用
冷启动,从0到1启动,新业务/产品从0到1的启动过程,从0到1启动、冷启动,这个新APP我们正在冷启动，先积累种子用户,成熟业务、已有大量用户的产品不适用
秀肌肉,秀实力、展优势,展示自身实力、优势能力,秀实力、展优势,这次行业大会，我们要秀肌肉，展示我们的技术实力,内部会议、日常工作沟通不适用
借东风,借势、蹭热点,借助外部趋势、热点、资源推进业务,借势、蹭热点,这次618大促，我们要借东风，冲一波销量,无外部热点、趋势的常规业务不适用
断舍离,砍业务、做减法,砍掉低效业务、放弃非核心项目,砍业务、做减法,这个业务一直不盈利，我们要断舍离，砍掉它,核心业务、高潜力项目不适用
薅羊毛,薅福利、占小便宜,用户通过平台活动、优惠获取福利,薅福利、占小便宜,这次双11，很多用户来薅羊毛，领了很多优惠券,无优惠活动的日常场景、To B 业务不适用
砍一刀,砍价、拉好友助力,拼多多式的用户裂变，通过好友助力砍价获取优惠,砍价、拉好友助力,这个商品可以砍一刀，拉3个好友就能免费拿,无裂变需求的常规销售、To B 业务不适用
走出去,拓市场、走出去,拓展外部市场、走出原有业务边界,拓市场、走出去,我们的业务要走出去，拓展东南亚市场,内部业务、固定区域的成熟业务不适用
讲故事,讲品牌故事、做内容营销,通过品牌故事、内容传递品牌价值,讲品牌故事、做内容营销,这个新品我们要讲故事，传递我们的品牌理念,内部工具、纯功能型产品不适用
扁平化,去层级、扁平化管理,减少组织层级、提升沟通效率,去层级、扁平化管理,我们团队要做扁平化，减少汇报层级，提升效率,超大型组织、需要严格层级的合规部门不适用
差异化,做差异、找不同,打造与竞争对手不同的产品/服务优势,做差异、找不同,我们的产品要做差异化，和竞争对手拉开差距,标准化产品、无竞争的内部业务不适用
平台化,做平台、建生态,将业务打造成开放平台，吸引多方参与,做平台、建生态,我们的业务要平台化，吸引更多商家和开发者入驻,单一功能产品、无平台属性的业务不适用
结构化,拆结构、理逻辑,将复杂问题拆解为有逻辑的结构,拆结构、理逻辑,这个问题我们先结构化拆解，再逐个解决,简单问题、无需逻辑拆解的场景不适用
精细化,做细节、精细化运营,对业务/运营做细致的颗粒度管理,做细节、精细化运营,我们的运营要做精细化，针对不同用户做不同的触达,粗放型业务、无需细节管理的场景不适用
短平快,快节奏、快速落地,项目周期短、流程平、见效快,快节奏、快速落地,这个活动我们要短平快，2周内上线,大型项目、需要长期规划的业务不适用
常态化,固定化、日常化,将临时工作/活动变成固定的日常流程,固定化、日常化,这个用户触达活动我们要常态化，每周都做,临时活动、一次性项目不适用
强依赖,高度依赖、离不开,系统/业务对某个组件/服务有高度的依赖,高度依赖、离不开,这个系统对支付服务有强依赖，支付出问题整个系统就崩了,独立系统、无外部依赖的业务不适用
不可控,控不住、有风险,事件/结果无法被预测和控制,控不住、有风险,这个外部合作有很多不可控因素，我们要做预案,完全可控的内部流程、固定业务不适用
有风险,有风险、不安全,事件/项目存在潜在的不利影响,有风险、不安全,这个方案有风险，我们要再评估一下,完全无风险的常规业务、固定流程不适用
感知度,用户感知、认知度,用户对产品/服务的感知和认知程度,用户感知、认知度,这个功能的用户感知度太低，我们要优化,内部工具、无用户交互的系统不适用
颗粒度,细节程度、拆解细度,对事物拆解的细致程度,细节程度、拆解细度,这个数据的颗粒度太粗，我们要拆到更细的维度,宏观战略、无需细节拆解的场景不适用
方法论,做事方法、套路,可复用的做事方法和逻辑体系,做事方法、套路,通过这个项目，我们沉淀了一套可复用的方法论,一次性项目、无复用价值的场景不适用
组合拳,多管齐下,多个策略/动作组合使用，形成协同效果,组合策略、多管齐下,这次大促我们要打组合拳，优惠券+直播+短视频一起上,单一动作、无协同需求的场景不适用
引爆点,爆发点、关键节点,能让事件/产品快速爆发的关键节点,爆发点、关键节点,我们要找到这个产品的引爆点，让它快速火起来,成熟产品、无爆发需求的常规业务不适用
护城河,核心优势、竞争壁垒,企业/业务的核心竞争优势，能抵御竞争对手,核心优势、竞争壁垒,我们的技术壁垒就是我们的护城河，竞争对手很难超越,无竞争的内部业务、成熟赛道的标准化产品不适用
影响力,号召力、行业影响力,品牌/业务在行业/用户中的影响和号召力,号召力、行业影响力,我们要提升品牌在行业中的影响力，拿到更多的合作资源,内部工具、无品牌需求的业务不适用
资源位,广告位、展示位,平台上能展示内容/商品的位置,广告位、展示位,这次大促，我们要拿到首页的核心资源位,无展示需求的内部系统、To B 定制化业务不适用
优先级,重要程度、先做后做,任务/项目的重要程度和执行顺序,重要程度、先做后做,我们先排一下需求的优先级，先做核心功能,无顺序要求的简单任务、固定流程不适用
制高点,行业高地、核心位置,行业/赛道的核心优势位置,行业高地、核心位置,我们要抢占这个赛道的制高点，做行业的领导者,成熟赛道、无竞争的内部业务不适用
可用性,能不能用、稳不稳定,系统/产品能正常使用的程度,能不能用、稳不稳定,这个系统的可用性要达到99.9%，不能出故障,内部工具、无高可用要求的系统不适用
易用性,好不好用、容不容易上手,用户使用产品/服务的便捷程度,好不好用、容不容易上手,我们要优化产品的易用性，让用户不用看教程就能用,内部工具、面向专业人员的复杂系统不适用
稳定性,稳不稳定、会不会崩,系统/服务能持续稳定运行的能力,稳不稳定、会不会崩,大促期间，系统的稳定性是第一位的，不能出问题,内部工具、无高稳定要求的系统不适用
便捷性,方便快捷程度,用户使用产品/服务的方便快捷程度,方不方便、快不快,我们要优化支付流程的便捷性，让用户1步就能完成支付,内部工具、无便捷性要求的复杂流程不适用
耦合性,关联程度、依赖度,系统/模块之间的关联和依赖程度,关联程度、依赖度,我们要降低系统的耦合性，让模块之间独立，方便维护,简单系统、无架构优化需求的场景不适用
一致性,统一、一致,系统/产品的设计、数据、体验保持统一,统一、一致,我们的产品要保持全端的体验一致性，用户用哪个端都一样,独立的内部工具、无统一需求的场景不适用
系统性,全局观、系统性思维,从整体和全局的角度思考和处理问题,全局观、系统性思维,我们要系统性的思考这个问题，不能只看局部,简单问题、局部执行任务不适用
端到端,全链路、从头到尾,从业务的起点到终点，全链路覆盖,全链路、从头到尾,我们要做端到端的用户体验优化，从用户进入到下单全流程优化,局部流程、单一环节的优化不适用
点对点,直接对接、一对一,两个节点之间的直接沟通/连接,直接对接、一对一,这个事我们点对点沟通，直接对接负责人,需要多方参与的复杂沟通、广播式通知不适用
点线面,从点到面、全局布局,从单点到线性，再到全局的思考和布局,从点到面、全局布局,我们的业务要做点线面的布局，先做单点突破，再线性延伸，最后全局覆盖,单一业务、无全局布局需求的场景不适用
上半场,前半段、增量期,行业/业务发展的前半阶段，增量市场阶段,前半段、增量期,电商行业的上半场已经结束，现在进入下半场,成熟行业、无明显阶段划分的业务不适用
下半场,后半段、存量期,行业/业务发展的后半阶段，存量市场阶段,后半段、存量期,现在是电商行业的下半场，我们要做精细化运营,新兴行业、增量市场阶段不适用
主战场,核心战场、主要业务,企业/业务的核心业务领域和市场,核心战场、主要业务,电商是我们的主战场，我们要守住核心优势,边缘业务、新拓展的非核心领域不适用
人货场,用户、商品、场景,电商零售的三个核心要素：人（用户）、货（商品）、场（消费场景）,用户、商品、场景,我们的运营要围绕人货场来做，匹配用户、商品和场景,非零售/电商业务、无商品和场景的业务不适用
基本面,核心经营情况、底子,企业/业务的核心经营状况和财务数据,核心经营情况、底子,我们先看一下这个业务的基本面，营收和利润情况,非经营类业务、无财务数据的内部项目不适用
基本盘,企业/业务的核心稳定的业务和用户群体,企业/业务的核心稳定的业务和用户群体,核心盘、基本盘,我们要先守住基本盘，再拓展新业务,新业务、无稳定用户和营收的项目不适用
操盘手,负责人、操盘的人,负责项目/业务整体运营和操盘的人,负责人、操盘的人,这个项目需要一个有经验的操盘手来负责,简单项目、无整体操盘需求的场景不适用
进化论,不断进化、持续优化,业务/组织根据市场变化不断进化和优化,不断进化、持续优化,我们的组织要遵循进化论，不断适应市场变化,固定流程、无进化需求的传统业务不适用
解释权,最终解释权,对规则/内容/事件的最终解释和定义的权力,最终解释权、定义权,这个活动的最终解释权归我们所有,无规则制定需求的场景、公开的行业标准不适用
最优解,最好的方案、最优解,在所有可行方案中，最优的解决方案,最好的方案、最优解,我们要找到这个问题的最优解，用最低的成本解决问题,简单问题、无多个方案可选的场景不适用
执行力,执行力：团队/个人把目标落地执行的能力,团队/个人把目标落地执行的能力,落地能力、干活的能力,我们团队的执行力很强，定的目标都能落地,纯战略规划、无执行需求的场景不适用
驱动力,核心动力、驱动力,推动业务/团队前进的核心动力,核心动力、驱动力,用户需求是我们业务发展的核心驱动力,无明确动力的停滞业务、固定流程不适用
鄙视链,鄙视链、优越感链条,行业/职场内不同岗位/业务之间的歧视和优越感链条,鄙视链、优越感链条,互联网行业里，技术岗和运营岗之间有鄙视链,无岗位差异的小团队、非职场场景不适用
生态链,上下游生态,围绕核心业务形成的上下游关联的业务生态,生态链条、上下游生态,我们要围绕电商业务，打造完整的生态链,单一业务、无生态布局需求的场景不适用
生态圈,生态圈,围绕核心业务形成的开放、协同的业务生态体系,生态体系、生态圈,我们要打造开放的电商生态圈，吸引更多的合作伙伴,封闭的单一业务、无生态需求的场景不适用
生态位,生态定位、角色,企业/业务在生态体系中的定位和角色,生态定位、角色,我们要在这个生态体系中找到自己的生态位，做核心的服务商,无生态体系的单一业务、独立项目不适用
全场景,全场景覆盖、所有场景,覆盖用户所有的使用场景,全场景覆盖、所有场景,我们的产品要做全场景覆盖，用户在家、出门、上班都能用,单一功能产品、无场景延伸需求的业务不适用
全渠道,全渠道覆盖、所有渠道,覆盖所有的销售和触达渠道,全渠道覆盖、所有渠道,我们的商品要做全渠道销售，线上线下所有渠道都覆盖,单一渠道业务、无多渠道需求的场景不适用
全方位,从所有维度和角度覆盖,从所有维度和角度覆盖,全方位、所有维度,我们要做全方位的风险评估，覆盖所有可能的风险点,单一维度的简单任务、局部优化不适用
全媒体,覆盖所有媒体和渠道,覆盖所有的媒体和传播渠道,全媒体覆盖、所有媒体,这次新品上市，我们要做全媒体投放，覆盖所有主流媒体平台,内部宣传、无传播需求的场景不适用
流量池,用户池、流量池,沉淀和留存的用户流量群体,用户池、流量池,我们要把公域流量沉淀到自己的流量池里，做长期运营,无用户沉淀需求的一次性活动、To B 定制化业务不适用
天花板,上限、瓶颈,行业/业务发展的上限和瓶颈,上限、瓶颈,这个赛道的天花板很低，我们要拓展新的业务,新兴行业、无明显上限的业务不适用
传话筒,只传递信息，不做思考和加工的人,只传递信息，不做思考和加工的人,传话筒、只传消息的人,他就是个传话筒，只把领导的话传下来，自己不思考,需要独立思考和决策的岗位、核心管理岗不适用
转化率,转化比例、成单率,完成目标动作的用户占总用户的比例,转化比例、成单率,这次活动的转化率很高，有10%的用户下单了,无转化目标的品牌宣传、内部工具不适用
活跃度,用户使用产品/服务的活跃程度,用户使用产品/服务的活跃程度,用户活跃、活跃度,我们的产品月活跃度很高，有80%的用户每月都用,一次性使用的产品、无用户活跃需求的工具不适用
颗粒感,细节质感、颗粒感,产品/内容的细节和质感,细节质感、颗粒感,这个视频的颗粒感很强，画面很清晰,内部工具、无质感要求的场景不适用
登云梯,晋升阶梯、成长路径,能帮助职业晋升和成长的机会和路径,晋升阶梯、成长路径,这个项目是他的登云梯，帮他拿到了晋升,无晋升需求的岗位、固定流程的工作不适用
冲击力,冲击力、震撼感,内容/产品能给用户带来的强烈的感官和心理冲击,冲击力、震撼感,这个广告片的冲击力很强，用户看了就忘不了,内部工具、无冲击需求的常规内容不适用
视觉锤,视觉符号、记忆点,能让用户快速记住的品牌视觉符号,视觉符号、记忆点,我们的品牌logo要做视觉锤，让用户看一眼就记住,内部工具、无品牌需求的场景不适用
孵化器,孵化平台、孵化器,能帮助新业务/新项目孵化和成长的平台和体系,孵化平台、孵化器,我们的创新孵化器，已经孵化出了多个成功的新业务,成熟业务、无孵化需求的项目不适用
新零售,线上线下融合零售,线上线下融合的新型零售模式,线上线下融合零售、新零售,我们要布局新零售，把线上电商和线下门店结合起来,纯线上电商、纯线下传统零售不适用
新物种,新东西、新物种,全新的业务模式、产品类型或行业形态,新东西、新物种,这个新业务是行业里的新物种，没有竞争对手,成熟的传统业务、已有大量玩家的赛道不适用
商业模式,商业模式：公司为谁解决什么问题、怎么把价值交付出去，以及怎么赚钱和持续运转。,描述组织如何创造价值、向客户交付价值并获取价值的整体机制，通常涉及客户群体、价值主张、渠道、客户关系、资源、活动、合作伙伴、成本和收入。,公司为谁解决什么问题、怎么把价值交付出去，以及怎么赚钱和持续运转。,在进入新市场前，需要先验证商业模式是否可持续。,只说明一次促销活动的赚钱方式，不能代表完整商业模式。
公域流量,平台上的公共客流,存在于第三方开放平台或公共渠道中，品牌通常需要通过内容、搜索、广告或平台分发规则持续获取的用户访问与触达机会。,平台上的公共客流，需要靠内容、投放或搜索去争取。,品牌先通过公域流量获得新客，再引导用户进入会员体系。,企业自己可持续直接触达的已授权会员，不宜继续称为公域流量。
私域流量,已留在自己会员、社群或账号里的客户,品牌或经营者在获得用户授权的前提下，能够直接连接、反复触达并持续运营的用户关系或用户群体。,已经留在自己会员、社群或账号里的客户，可以继续服务和沟通。,用户同意加入会员后，品牌可在私域中提供售后与复购服务。,未经用户同意收集联系方式或频繁骚扰，不属于合规私域运营。
垂直领域,聚焦特定行业、细分市场、专业问题或特定用户需求，并围绕该范围提供专业产品或服务的领域。,聚焦特定行业、细分市场、专业问题或特定用户需求，并围绕该范围提供专业产品或服务的领域。,不是什么都做，而是在一个细分方向里做深。,团队先聚焦医疗影像这一垂直领域，形成专业能力。,跨行业通用工具或覆盖范围极广的平台，不宜简单称为垂直领域。
竞品分析,研究别人的产品怎么做，找差异和机会，不是照抄。,系统研究直接竞争者、间接竞争者和替代方案的定位、目标客户、产品能力、体验、价格、渠道及优势劣势，为产品和市场决策提供依据。,研究别人的产品怎么做，找差异和机会，不是照抄。,立项前应完成竞品分析，明确我们的差异化价值。,直接复制对方受保护的设计、代码或商业秘密，不属于竞品分析。
顶层设计,先从全局把方向、结构和规则设计清楚。,从全局目标和长期约束出发，自上而下规划整体架构、关键机制、要素关系和实施路径。,先从全局把方向、结构和规则设计清楚。,数据治理需要先完成顶层设计，再逐步落地各业务域。,只讨论一个页面或局部功能细节时，不宜称为顶层设计。
底层逻辑,底层逻辑,隐藏在现象、判断或方案背后的基本规律、关键假设、因果关系与运行机制。,这件事为什么成立，最根本的原因是什么。,在讨论方案前，先把用户愿意付费的底层逻辑说清楚。,只是表达个人偏好、没有因果证据时，不宜包装成底层逻辑。
规模效应,做得越多，摊得越薄,在长期生产或经营过程中，随着产出规模扩大，单位产品或服务的平均成本下降的现象。,做得越多，固定投入被摊得越薄，平均每一份的成本越低。,订单规模提升后，仓配固定成本被摊薄，规模效应开始显现。,如果规模扩大后管理、沟通和协调成本上升，导致平均成本反而提高，则属于规模不经济，不能称为规模效应。
